Seednode,Targetnode,Correlation
16,124.0,0.896246749
16,143.0,0.896246749
18,4020.0,0.781400546
18,6718.0,0.727202432
18,194.0,0.872084952
18,2250.0,0.854325903
27,2901.0,0.883845797
27,3126.0,0.893226049
27,3934.0,0.806663989
27,4182.0,0.879650923
27,4244.0,0.895589518
27,5195.0,0.857624066
27,5346.0,0.838355154
27,3466.0,0.93044119
27,3341.0,0.866143063
27,5365.0,0.754832592
27,5364.0,0.804175783
27,5658.0,0.835084641
27,5694.0,0.767911691
27,6484.0,0.739667267
27,6803.0,0.853089062
27,6047.0,0.797995244
27,6402.0,0.930090622
27,7330.0,0.934099607
27,6811.0,0.90852433
27,8104.0,0.81511705
27,10042.0,0.777537337
27,9500.0,0.891418846
27,3010.0,0.841960404
27,11254.0,0.933220986
27,262.0,0.835386904
27,291.0,0.704153307
27,1117.0,0.827641103
27,1165.0,0.712080343
27,511.0,0.93436488
27,3596.0,0.74625682
27,4337.0,0.826197555
27,1683.0,0.755823774
27,1498.0,0.749172967
27,1778.0,0.766284542
27,1483.0,0.767600467
27,4836.0,0.76212383
27,7104.0,0.836556772
27,8623.0,0.865022813
27,8297.0,0.772649924
27,10568.0,0.707469791
27,10940.0,0.790617736
27,11159.0,0.726643696
27,8288.0,0.761412839
27,5390.0,0.775872488
27,7013.0,0.70458897
27,6187.0,0.878307996
27,5145.0,0.706336566
27,5303.0,0.835853669
338,10095.0,0.79207549
338,1680.0,0.805124694
338,4469.0,0.886628057
338,14281.0,0.71783807
338,11789.0,0.711041293
338,10880.0,0.779162865
338,2958.0,0.736441069
338,13082.0,0.857040275
338,5334.0,0.839801988
338,8121.0,0.850438026
338,7276.0,0.726177302
338,782.0,0.80227476
361,5843.0,0.722200018
361,5857.0,0.719919823
1893,4389.0,0.897291157
2316,7398.0,0.870444301
2316,7436.0,0.891513202
2316,7561.0,0.90818588
2316,12052.0,0.902971381
2316,7939.0,0.910396628
2316,7569.0,0.792360046
2316,8188.0,0.872265464
2316,688.0,0.758509999
2316,2104.0,0.975876181
2316,5931.0,0.798376923
2316,5974.0,0.737349811
2316,6218.0,0.903498489
2316,6229.0,0.884459225
2316,6765.0,0.81155636
2316,6912.0,0.900688915
2316,6949.0,0.851478579
2316,7018.0,0.719015349
2316,7301.0,0.898139998
2316,7332.0,0.843473598
2316,3099.0,0.942703821
2316,3107.0,0.914143747
2316,3597.0,0.930993193
2316,3601.0,0.877064153
2316,4774.0,0.914919032
2316,5279.0,0.940230633
2316,14927.0,0.898940699
2316,11999.0,0.759003631
2316,13027.0,0.870203572
2316,14441.0,0.733767452
2316,9004.0,0.876152351
2316,8527.0,0.901692546
2316,9284.0,0.894578832
2316,9162.0,0.896674839
2316,12451.0,0.95160874
2316,12449.0,0.894417801
2316,9691.0,0.806217221
2316,9744.0,0.870769851
2316,9933.0,0.895033025
2316,10020.0,0.819934312
2316,11258.0,0.844784111
2316,4347.0,0.963200979
2316,9128.0,0.762757639
2316,9059.0,0.891977708
2316,8994.0,0.847349799
2316,8991.0,0.89293372
2316,8912.0,0.878462738
2316,6384.0,0.990975992
2316,5961.0,0.902703501
2316,6167.0,0.972880942
2316,8484.0,0.966862909
2316,8275.0,0.878477725
2316,9991.0,0.969731065
2316,11847.0,0.76962097
2316,6781.0,0.946633976
3307,4177.0,0.947660341
3307,7880.0,0.932918435
3307,5901.0,0.89038268
3307,5253.0,0.908918374
7933,8317.0,0.701780692
7933,10907.0,0.721119312
7933,14175.0,0.876817514
